e1, 1 , 2 , 7
e2, 2 , 3 , 13
e3, 3 , 4 , 3
e4, 4 , 5 , 2
e5, 5 , 6 , 10
e6, 1 , 6 , 6
e7, 2 , 6 , 5
e8, 3 , 5 , 3
e9, 4 , 6 , 4
e10, 2, 7 , 5
e11, 1 , 8 , 3
e12, 3, 7 , 4
e13, 5, 9, 2
e14, 6,10 , 9
e15, 10, 11,  2
e16, 7, 10, 6
e17, 3, 12, 1
e18, 4 , 12,  1
e19, 10, 13,  1
e20, 12, 13,  1
e21, 5, 8, 4
e22, 7 ,13,  5
e23, 10, 14,  2
e24, 11, 14,  3
e25, 14, 15,  1
e26, 14, 16,  1
e27, 15, 16,  1
e28, 16, 17,  3
e29, 14, 18,  2
e30, 18, 19,  2
e31, 19, 20,  4
e32, 19, 21,  2
e33, 21, 22,  20
e34, 20, 22,  1
e35, 16, 23,  17
e36, 23, 24,  1
e37, 22, 24,  2
e38, 22, 25,  6
e39, 24, 25, 3
e40, 23, 25,  1
